"user_id","level_id","retrial_count"
109,164,1
109,165,1
109,166,0
109,167,14
109,168,0
109,169,0
109,170,5
109,171,5
109,172,53
109,173,0
109,174,1
109,175,19
109,176,2
109,177,5
109,178,78
109,179,10
109,180,21
109,181,13
109,182,0
109,183,16
109,184,23
109,185,19
109,186,8
109,187,3
109,188,6
109,189,10
109,190,4
109,191,23
109,192,1
109,193,13
109,194,0
109,195,14
109,196,67
109,197,2
109,198,0
109,199,0
109,200,6
110,151,1
110,152,28
110,153,8
110,154,10
110,155,0
110,156,0
110,157,5
110,158,0
110,159,0
110,160,0
110,161,0
110,162,0
110,163,2
110,164,0
110,165,0
110,166,0
110,167,0
110,168,0
110,169,0
110,170,0
110,171,0
110,172,0
110,173,0
110,174,0
110,175,0
110,176,0
110,177,2
110,178,0
110,179,3
110,180,82
110,181,0
110,182,0
110,183,0
110,184,0
110,185,43
110,186,1
110,187,4
110,188,0
110,189,0
110,190,0
110,191,1
110,192,0
110,193,0
110,194,0
110,195,0
110,196,0
110,197,0
110,198,0
110,199,1
110,200,0
111,151,8
111,152,0
111,153,5
111,154,7
111,155,4
111,156,2
111,157,7
111,158,2
111,159,0
111,160,5
111,161,4
111,162,5
111,163,13
111,164,3
111,165,2
111,166,5
111,167,0
111,168,7
111,169,0
111,170,1
111,171,18
111,172,6
111,173,2
111,174,5
111,175,2
111,176,1
111,177,2
111,178,18
111,179,11
111,180,0
111,181,3
111,182,0
111,183,3
111,184,0
111,185,8
111,186,1
111,187,6
111,188,5
111,189,12
111,190,3
111,191,0
111,192,0
111,193,0
111,194,0
111,195,0
111,196,0
111,197,0
111,198,0
111,199,0
111,200,0
112,151,28
112,152,17
112,153,3
112,154,3
112,155,5
112,156,2
112,157,0
112,158,1
112,159,3
112,160,0
112,161,21
112,162,12
112,163,7
112,164,4
112,165,1
112,166,0
112,167,2
112,168,4
112,169,6
112,170,0
112,171,1
112,172,2
112,173,62
112,174,1
112,175,7
112,176,0
112,177,5
112,178,24
112,179,0
112,180,48
112,181,2
112,182,0
112,183,1
112,184,0
112,185,16
112,186,2
112,187,0
112,188,1
112,189,1
112,190,6
112,191,19
112,192,15
112,193,13
112,194,5
112,195,0
112,196,21
112,197,2
112,198,0
112,199,0
112,200,1
113,151,0
113,152,0
113,153,4
113,154,6
113,155,6
113,156,0
113,157,9
113,158,0
113,159,13
113,160,0
113,161,2
113,162,5
113,163,1
113,164,0
